3.51234e-05	2079
3.51234e-05	2195
3.51234e-05	2269
3.51234e-05	2457
3.51234e-05	2470
3.51234e-05	2569
3.51234e-05	2596
3.61857e-05	911
3.61857e-05	918
3.61857e-05	1096
3.61857e-05	1119
3.61857e-05	1145
3.61857e-05	1206
3.61857e-05	1386
3.61857e-05	1466
3.61857e-05	1560
3.61857e-05	1581
3.61857e-05	1834
3.71429e-05	2842
3.71429e-05	3031
3.71429e-05	3071
3.71429e-05	3183
3.71429e-05	3230
3.81247e-05	2442
3.82791e-05	1262
3.83003e-05	1276
3.86769e-05	358
3.86769e-05	447
3.86769e-05	550
3.94437e-05	585
3.94437e-05	602
3.94437e-05	607
3.94437e-05	608
3.94437e-05	613
3.94437e-05	624
3.94437e-05	638
3.94437e-05	668
3.94437e-05	674
3.95825e-05	1755
3.96902e-05	1176
4.0612e-05	1395
4.06455e-05	692
4.06455e-05	801
4.07435e-05	1690
4.0748e-05	1967
4.1231e-05	3451
4.1231e-05	3453
4.1231e-05	3570
4.1231e-05	3650
4.1231e-05	3709
4.1231e-05	3729
4.1231e-05	3748
4.1231e-05	3798
4.1231e-05	3820
4.1231e-05	3853
4.1231e-05	3856
4.1231e-05	3935
4.1231e-05	3974
4.13703e-05	3006
4.15963e-05	1430
4.16952e-05	1233
4.18966e-05	1969
4.22419e-05	3282
4.27547e-05	1558
4.29112e-05	3134
4.29911e-05	3408
4.29942e-05	3125
4.30521e-05	1651
4.32127e-05	1065
4.41484e-05	11
4.41484e-05	12
4.41484e-05	15
4.41484e-05	18
4.41484e-05	37
4.41484e-05	43
4.41484e-05	74
4.41484e-05	114
4.41484e-05	209
4.41484e-05	210
4.41484e-05	215
4.41484e-05	287
4.41484e-05	292
4.41484e-05	335
4.49357e-05	875
4.49357e-05	883
4.49357e-05	891
4.49357e-05	892
4.51593e-05	2798
4.54318e-05	2722
4.63741e-05	1362
4.68914e-05	1854
4.70543e-05	2382
4.70543e-05	2541
4.7325e-05	2860
4.73364e-05	2380
4.74254e-05	648
4.74467e-05	1270
4.74886e-05	1856
4.76161e-05	1034
4.78802e-05	1417
4.80077e-05	656
4.80973e-05	2998
4.8546e-05	945
4.88527e-05	1326
